category,criterion,max_score,score,evidence_timecode,problem,revision,acceptance_signal
Art,Color system,10,,,,,
Art,Composition and hierarchy,8,,,,,
Art,Materials and lighting,8,,,,,
Art,Camera and space,8,,,,,
Art,Distinctiveness and brand attribution,6,,,,,
Rhythm,Phrase and emotional arc,10,,,,,
Rhythm,Shot-length variation,8,,,,,
Rhythm,Audio-visual relationship,7,,,,,
Rhythm,Transitions and continuity,6,,,,,
Rhythm,Pauses and brand landing,4,,,,,
Craft,Motion curves and physics,5,,,,,
Craft,Camera execution,5,,,,,
Craft,FX control,4,,,,,
Craft,Typography and UI,3,,,,,
Craft,Rendering and compositing,5,,,,,
Craft,Sound design,3,,,,,
